run,t,KE,PE,E,dE_rel
dt050,1.00528,4.981788375070099e-07,-9.981715736401474e-07,-4.999927361331375e-07,1.3536225509590465e-05
dt050,1.2566,4.972933965908544e-07,-9.972826301136744e-07,-4.999892335228201e-07,2.054145309024925e-05
dt050,1.50792,4.963353461195929e-07,-9.96320811086468e-07,-4.999854649668751e-07,2.8078572453471627e-05
dt050,1.75924,4.953652147642372e-07,-9.953468860923732e-07,-4.99981671328136e-07,3.566585745456886e-05
dt050,2.01056,4.944436028085291e-07,-9.94421691047123e-07,-4.999780882385938e-07,4.2832043644310265e-05
dt050,2.2618799999999997,4.936274384436508e-07,-9.93602370417986e-07,-4.999749319743352e-07,4.9144578420570795e-05
dt050,2.5132,4.929666172477663e-07,-9.92939005257613e-07,-4.999723880098467e-07,5.4232512442323836e-05
dt050,2.76452,4.925011823759232e-07,-9.924717847883062e-07,-4.99970602412383e-07,5.780371091065543e-05
dt050,3.01584,4.922591470239219e-07,-9.922288229071076e-07,-4.999696758831858e-07,5.965677114250749e-05
dt050,3.2671599999999996,4.922550165969031e-07,-9.922246766804715e-07,-4.999696600835684e-07,5.96883704085745e-05
dt050,3.51848,4.924890382674887e-07,-9.924595941584701e-07,-4.999705558909815e-07,5.7896753806045114e-05
dt050,3.7698,4.929471882758546e-07,-9.929195016460845e-07,-4.999723133702299e-07,5.43817918240771e-05
dt050,4.02112,4.936018971247719e-07,-9.93576730580766e-07,-4.999748334559941e-07,4.934161529815468e-05
dt050,4.27244,4.944135027488583e-07,-9.943914743039014e-07,-4.999779715550431e-07,4.306541097712956e-05
dt050,4.523759999999999,4.953324047520656e-07,-9.953139481721489e-07,-4.999815434200833e-07,3.592167381363342e-05
dt050,4.77508,4.963018635436844e-07,-9.962871972034295e-07,-4.999853336597451e-07,2.8341186973785994e-05
dt050,5.0264,4.972613445505628e-07,-9.972504516374165e-07,-4.999891070868538e-07,2.0794325273584117e-05
dt050,5.2777199999999995,4.981502520304621e-07,-9.981428747897086e-07,-4.999926227592466e-07,1.376297351625046e-05
dt050,5.52904,4.989118367524011e-07,-9.98907486824331e-07,-4.999956500719298e-07,7.708342146471924e-06
dt050,5.78036,4.994970086567325e-07,-9.994949943664817e-07,-4.999979857097492e-07,3.0370618759783815e-06
dt050,6.03168,4.998677534249264e-07,-9.998672232295292e-07,-4.999994698046028e-07,6.886922576807538e-08
dt050,6.2829999999999995,4.999998532215783e-07,-9.99999852633139e-07,-4.999999994115607e-07,9.903457402319585e-07
dt100,0.125664,4.999922226869238e-07,-9.9999221498101e-07,-4.999999922940861e-07,0.0
dt100,0.251328,4.999690147601697e-07,-9.999689840607853e-07,-4.999999693006156e-07,4.5986941745143246e-08
dt100,0.376992,4.999307462042188e-07,-9.999306775969223e-07,-4.999999313927035e-07,1.2180276709809933e-07
dt100,0.502656,4.998780268810351e-07,-9.998779060655496e-07,-4.999998791845145e-07,2.2621914655279538e-07
dt100,0.62832,4.998116964913969e-07,-9.998115100121655e-07,-4.999998135207686e-07,3.5754664047088516e-07
dt100,0.753984,4.997328107827497e-07,-9.997325462447843e-07,-4.999997354620346e-07,5.136641108189879e-07
dt100,0.879648,4.996426242557824e-07,-9.996422705221672e-07,-4.999996462663847e-07,6.920554133659797e-07
dt100,1.005312,4.995425696839259e-07,-9.995421170517276e-07,-4.999995473678016e-07,8.898525825996833e-07
dt100,1.130976,4.994342348135614e-07,-9.994336751653565e-07,-4.999994403517951e-07,1.1038845990142836e-06
dt100,1.25664,4.993193366576409e-07,-9.993186635863632e-07,-4.999993269287223e-07,1.3307307481634201e-06
dt100,1.382304,4.991996938309128e-07,-9.991989027362545e-07,-4.999992089053417e-07,1.5667775128995157e-06
dt100,1.507968,4.990771974006571e-07,-9.99076285555799e-07,-4.99999088155142e-07,1.8082779160794594e-06
dt100,1.633632,4.989537807426977e-07,-9.989527473306843e-07,-4.999989665879866e-07,2.051412230593245e-06
dt100,1.759296,4.988313888987354e-07,-9.988302350183384e-07,-4.99998846119603e-07,2.2923490015242565e-06
dt100,1.88496,4.987119479282368e-07,-9.987106765696585e-07,-4.999987286414217e-07,2.527305367813294e-06
dt100,2.010624,4.985973347369648e-07,-9.985959507281976e-07,-4.999986159912328e-07,2.7526057489372295e-06
dt100,2.136288,4.984893478456208e-07,-9.984878577707192e-07,-4.999985099250984e-07,2.964738020981966e-06
dt100,2.261952,4.983896795369766e-07,-9.983880916278712e-07,-4.999984120908945e-07,3.160406431850262e-06
dt100,2.387616,4.982998897893223e-07,-9.982982137931574e-07,-4.999983240038351e-07,3.336580553414086e-06
dt100,2.51328,4.982213823690745e-07,-9.982196293933354e-07,-4.999982470242609e-07,3.490539704158224e-06
dt100,2.638944,4.9815538341691e-07,-9.981535657548523e-07,-4.999981823379423e-07,3.619912343412712e-06
dt100,2.764608,4.981029228206873e-07,-9.981010537597868e-07,-4.999981309390995e-07,3.7227100305982802e-06
dt100,2.890272,4.980648186254119e-07,-9.980629122417137e-07,-4.999980936163019e-07,3.7973556269770098e-06
dt100,3.015936,4.980416646862196e-07,-9.9803973562759e-07,-4.999980709413705e-07,3.842705490456991e-06
dt100,3.1416,4.980338217252274e-07,-9.980318849866105e-07,-4.999980632613831e-07,3.858065465457031e-06
dt100,3.267264,4.980414119075053e-07,-9.980394826013444e-07,-4.999980706938391e-07,3.843200553270204e-06
dt100,3.392928,4.980643170055448e-07,-9.980624101305708e-07,-4.99998093125026e-07,3.7983381786464627e-06
dt100,3.518592,4.981021801756161e-07,-9.981003103872178e-07,-4.999981302116017e-07,3.7241650261245315e-06
dt100,3.644256,4.981544113233806e-07,-9.981525927087552e-07,-4.999981813853746e-07,3.6218174787238514e-06
dt100,3.76992,4.98220195990128e-07,-9.982184418513775e-07,-4.999982458612495e-07,3.492865726970967e-06
dt100,3.895584,4.982985076451426e-07,-9.982968302934158e-07,-4.999983226482732e-07,3.3392916772211346e-06
dt100,4.021248,4.983881232240903e-07,-9.98386533787778e-07,-4.999984105636876e-07,3.163460845622387e-06
dt100,4.146912,4.984876417081884e-07,-9.984861499580507e-07,-4.999985082498623e-07,2.968088493314269e-06
dt100,4.272576,4.985955054946175e-07,-9.985941196885692e-07,-4.999986141939517e-07,2.756200311181221e-06
dt100,4.3982399999999995,4.98710024265606e-07,-9.98708751015669e-07,-4.99998726750063e-07,2.531088085088649e-06
dt100,4.523904,4.988294010224778e-07,-9.988282451861788e-07,-4.99998844163701e-07,2.296260805563971e-06
dt100,4.649568,4.989517599124241e-07,-9.98950724510617e-07,-4.999989645981928e-07,2.05539181823385e-06
dt100,4.775232,4.990751754407132e-07,-9.99074261603467e-07,-4.999990861627537e-07,1.8122626926439792e-06
dt100,4.9008959999999995,4.991977026304184e-07,-9.991969095722318e-07,-4.999992069418133e-07,1.570704569673505e-06
dt100,5.02656,4.993174076665598e-07,-9.99316732691726e-07,-4.999993250251663e-07,1.33453786019979e-06
dt100,5.152224,4.994323985428193e-07,-9.994318370813006e-07,-4.999994385384813e-07,1.1075112265380203e-06
dt100,5.277888,4.995408552177124e-07,-9.995404008913757e-07,-4.999995456736633e-07,8.932408592835541e-07
dt100,5.4035519999999995,4.996410587841459e-07,-9.996407035026866e-07,-4.999996447185408e-07,6.951511013601951e-07
dt100,5.529216,4.997314191624178e-07,-9.997311532477541e-07,-4.999997340853363e-07,5.164175074999866e-07
dt100,5.65488,4.998105008424146e-07,-9.998103131797916e-07,-4.99999812337377e-07,3.5991342378022786e-07
dt100,5.780544,4.998770462263085e-07,-9.998769244398332e-07,-4.999998782135247e-07,2.2816112631540056e-07
dt100,5.9062079999999995,4.999299961583988e-07,-9.999299268082127e-07,-4.999999306498139e-07,1.2328854634322723e-07
dt100,6.031872,4.999685072734958e-07,-9.999684760713504e-07,-4.999999687978546e-07,4.699246367792994e-08
