n,seed,mode,a_target,a_actual,p_shot_mpc_h3,s_n_at_kmin,s_n_min,median_abs_log10_err_corrected,mean_r_corr,std_r_corr,cv_r_corr,delta_rms
64,42,z0_sigma8,0.05,0.05010025762297841,3.814697265625,985528039443605.2,830231552166.72,12.266213400240783,6095578194701.711,15531738857412.342,2.5480337322081374,1.0336073317323835
64,42,z0_sigma8,0.1,0.10001930123040292,3.814697265625,856600607457979.9,839077140211.4424,11.663306566574622,1389364788946.4739,3380324456745.621,2.4329999461904097,1.0304914054086496
64,137,legacy,0.02,0.02,3.814697265625,4301.078748163181,37.629343292025425,0.02838354716629935,1.0242103335690533,0.13674193731482379,0.13350962476459383,0.0
64,137,legacy,0.05,0.05010025762297841,3.814697265625,1786293065780540.0,826988668768.3022,9.149695495044686,6437773044.406068,18331164968.657684,2.8474388336174825,1.0661200394310963
64,137,legacy,0.1,0.10001930123040292,3.814697265625,25833256150584.46,826276671173.787,8.425030634195881,330028724.07021916,243113044.8111058,0.7366420771283514,1.001345682703796
64,137,z0_sigma8,0.02,0.02,3.814697265625,2.7776388909908714,0.02430104073983361,0.02838358537743995,1.024210368455173,0.13674197787105266,0.133509659814616,0.0
64,137,z0_sigma8,0.05,0.05010025762297841,3.814697265625,2026230783275241.5,804481479852.4878,12.383160718857173,11341626155654.432,32271969820685.68,2.845444681192944,1.0782169910935426
64,137,z0_sigma8,0.1,0.10001930123040292,3.814697265625,272515147998589.1,847192945006.9231,11.674250699866379,780659618713.0491,1053769511258.2758,1.3498450361701302,1.011775306092974
64,271,legacy,0.02,0.02,3.814697265625,2881.395026503461,38.43394419529152,0.026928057702321324,0.9945296736620504,0.108748128971179,0.10934628885505988,0.0
64,271,legacy,0.05,0.05010025762297841,3.814697265625,2514880677020640.0,823656583017.3973,9.170904266429254,8899213465.016344,25951334871.36477,2.916138035499647,1.099392532460398
64,271,legacy,0.1,0.10001930123040292,3.814697265625,858632083120210.4,810646205948.3094,8.4803844003173,898148548.8169835,2186919343.921835,2.434919420403657,1.030306297609857
64,271,z0_sigma8,0.02,0.02,3.814697265625,1.8608060585195871,0.0248206551681507,0.02692803345917668,0.9945296854629421,0.10874810051511381,0.10934625894499352,0.0
64,271,z0_sigma8,0.05,0.05010025762297841,3.814697265625,2300596562400138.0,812952817521.2197,12.358241770849517,12073139032931.521,36708713267257.29,3.0405276678358533,1.081784437103518
64,271,z0_sigma8,0.1,0.10001930123040292,3.814697265625,1421034876365902.5,810107244879.0687,11.663186187850831,1975793202762.8706,5669483203632.035,2.869471964831165,1.0480731541384796
128,42,legacy,0.02,0.02,0.476837158203125,24869.520576558967,54.288583665773025,0.04855693373295489,0.8912055977829543,0.056574193048721966,0.06348051806391385,0.0
128,42,legacy,0.05,0.05010025762297841,0.476837158203125,5.745007062248057e+19,1495896339329614.0,12.108196679683402,11701306688609.795,53799833102810.11,4.597762842604542,1.1417114100540715
128,42,legacy,0.1,0.10001930123040292,0.476837158203125,2.741554105864639e+19,1481911726019463.5,11.465385268979514,1480263252453.2854,6421563217969.408,4.338122430133124,1.0635926854932605
128,42,z0_sigma8,0.02,0.02,0.476837158203125,16.06074556826865,0.03505958803058173,0.048556932959331764,0.8912055988102954,0.05657419142591268,0.06348051616982181,0.0
128,42,z0_sigma8,0.05,0.05010025762297841,0.476837158203125,5.198197443970194e+19,1476926367466902.5,15.30595050420258,1.7390868373710914e+16,7.557630977795242e+16,4.345746753635265,1.1401136114160006
128,42,z0_sigma8,0.1,0.10001930123040292,0.476837158203125,2.0946263050476065e+19,1466535335732042.2,14.650113821964727,1876952379394345.5,7579200754449216.0,4.038035720914172,1.0490386012914452
