t,N,KE,PE,E,dE_rel,px,py,pz,p_norm,Lz,Q,r_hm,com_x,com_y,com_z,t_over_tff
1.3326,200,1.1493111710186628,-1.8445281083574567,-0.695216937338794,0.0005220970495766186,0.0031972930969511835,0.0011809563676777998,-0.0016324713414855912,0.0037791935344650184,0.0005555772628799776,0.6230922509725909,0.22103521619753352,0.001923384040736271,0.00028087652209340415,-0.001208172258671184,0.5998807614554797
1.44365,200,1.0234824848434914,-1.7193149471406342,-0.6958324622971428,0.0014079303615078596,0.003003313172960503,0.0009023527602892167,-0.0016297034959336714,0.0035341284644927785,0.0005403945378955878,0.5952850503310223,0.2538986674085077,0.0022709837134696747,0.00039282297931151987,-0.0013994135460512322,0.6498708249101032
1.5547,200,0.9055480798167296,-1.6032388076253206,-0.697690727808591,0.004082254887469458,0.001664423641062592,0.0014913661376557562,-0.0014126463201294514,0.0026438700117913483,0.0005162872021161351,0.5648242018031026,0.28904143353755013,0.0025423298988020656,0.0005242681234891401,-0.0015650493501908928,0.6998608883647264
1.66575,200,0.762243072524664,-1.459145692514127,-0.6969026199894631,0.0029480487921557702,0.0017364791458990318,0.001448077817998628,-0.001196783434505862,0.002558237631696779,0.0005513521917523222,0.5223899686201378,0.3129204966799741,0.0027269646827613615,0.000679292573379734,-0.0017139685686429137,0.7498509518193498
1.7768000000000002,200,0.6262714196783401,-1.3228062371234466,-0.6965348174451065,0.0024187254209667463,0.0018290835577849237,0.0018533307149672816,-0.0009098250446869385,0.0027582898709780086,0.0006031185934245971,0.4734415382257495,0.3201846181872473,0.0029277895792660814,0.0008734893781569927,-0.0018277257455639616,0.7998410152739731
1.88785,200,0.610569705390653,-1.307334549364391,-0.6967648439737381,0.0027497683119591227,0.0015130979080046948,0.001796450892658125,-0.0007609753472255747,0.002468964270301505,0.0005955033715537014,0.4670340164172239,0.3330077397696126,0.003125694115675306,0.0010769338770390566,-0.0019239627563217732,0.8498310787285964
1.9989000000000001,200,0.5797050568780073,-1.2774839794524344,-0.6977789225744271,0.004209180466125393,0.0012620844565073557,0.001418133824653413,-0.000306254204761463,0.001922954070672948,0.0006747935893154481,0.4537865571719226,0.3313327033058757,0.0032751598104964062,0.0012459239592849123,-0.001955478177954291,0.8998211421832197
2.10995,200,0.5344539738366166,-1.2314178874833488,-0.6969639136467322,0.0030362596155879495,0.0011848348986236337,0.0014656528736173107,-0.0003471658531548946,0.001916375801489865,0.000662358980677522,0.4340151132032695,0.3288914459075497,0.0034130792412200976,0.0014037621601441551,-0.0019938857077952906,0.949811205637843
2.221,200,0.5360807395798982,-1.233274758634243,-0.6971940190543447,0.0033674160253386563,0.0010462353891240379,0.0016939030040785679,-0.0002655838021796114,0.0020085941931266512,0.000576906264906222,0.4346807034091628,0.34693573379840686,0.003529591586778904,0.001579506427024534,-0.002029404538940707,0.9998012690924664
2.33205,200,0.5220522675006138,-1.218716991996635,-0.6966647244960211,0.0026056812731935,0.001479106724896413,0.0021395592762197685,-0.00043110412925690626,0.002636535865554309,0.000666108976643445,0.42836218000483517,0.349788282986907,0.003687298781137788,0.0017982069756552136,-0.0020713276546900344,1.0497913325470898
2.4431000000000003,200,0.4636333384156877,-1.1596792482894016,-0.696045909873714,0.0017151136383402718,0.0015884611363825875,0.002028530786178659,-0.00036209842864160945,0.002601780391250805,0.0006887927827113166,0.3997944596314675,0.34467928638977,0.0038580956167559824,0.0020262377688683255,-0.0021089461448804444,1.099781396001713
2.55415,200,0.4464285515048394,-1.1431755504755345,-0.6967469989706951,0.0027240866593591473,0.0016118759759638625,0.0020642802115730706,-0.0002780396316764383,0.0026337621362918073,0.0005893472607424377,0.390516182155169,0.33953583155486855,0.004018568575746771,0.0022502463567642475,-0.0021452585621683116,1.1497714594563362
2.6652,200,0.48717918302456553,-1.1834858509297428,-0.6963066679051773,0.002090383799997805,0.0016029894655259854,0.0018015204622221215,-0.00034265293227366667,0.002435664639146373,0.000535073786887365,0.41164766155999166,0.3543212988715031,0.004204674803145767,0.0024676642775478294,-0.0021825653517797117,1.1997615229109595
2.77625,200,0.5273471029449595,-1.2237745760139052,-0.6964274730689457,0.0022642406629371503,0.0014663385013890676,0.0017724912040470936,-0.00028868611114516574,0.0023184506334723567,0.0005628154524623201,0.4309184986197715,0.3334795030518088,0.004376422335017891,0.0026659146918192357,-0.00222235078350979,1.249751586365583
2.8873,200,0.5635578641013276,-1.260333947476784,-0.6967760833754565,0.002765943507316063,0.0017425962924499058,0.0017573369145745053,-0.0002418650346936251,0.0024866390097466394,0.0005664189563995331,0.4471496346104004,0.30704931580812267,0.004550304504709536,0.0028646333018082933,-0.0022474845478376495,1.2997416498202063
2.9983500000000003,200,0.5603391969857039,-1.2561176293182605,-0.6957784323325567,0.0013301730881045799,0.0018206877834307247,0.0014481218889129937,-0.0003970967412659916,0.0023600099219721286,0.000524386980314354,0.4460881560032079,0.28837687587722133,0.004759377927604762,0.0030389739958348572,-0.0022823529258842023,1.3497317132748297
3.1094,200,0.5912175817362623,-1.2869230358946855,-0.6957054541584232,0.0012251464814423095,0.0015254974149728202,0.0014837302970441913,-0.00046512824855009775,0.0021782888341665995,0.0004891404844277236,0.4594039932817274,0.2907519354753212,0.004938940365187974,0.003203383642556382,-0.0023270886480253046,1.3997217767294527
