tag,distribution,N,variant,total_wall_s,total_gravity_s,mean_step_wall_s,E0,E_final,dE_rel_final,dE_rel_max,dE_rel_mean,dp_rel_final,dp_rel_max,dL_rel_final,dL_rel_max,Q_virial_final,r_hm_final,r_hm_init
plummer_a1_N1000_V5_rel_soft_consistent,plummer_a1,1000,V5_rel_soft_consistent,52.510692941,52.45776943800001,0.052465926173,-3.548709799938882,-2.400102704397943,0.3236689276651252,0.3236689276651252,0.19508013378086153,0.9999999999754088,0.9999999999955438,0.03903935596566527,0.04036658515256534,0.3047384250544069,0.18821987795980105,0.05122193782695209
plummer_a2_N1000_V1_geom_bare,plummer_a2,1000,V1_geom_bare,20.655920246,20.605285753,0.020611952449,-4.0559726507816,-2.905483800350952,0.2836530098912143,0.2836530098912143,0.16397825834375618,1.0000000000000364,1.000000000000081,1.2107904350340504,1.8340983774276005,0.310752575270927,0.09017434898981377,0.05622837871359713
plummer_a2_N1000_V2_geom_soft,plummer_a2,1000,V2_geom_soft,20.903713947,20.85231514,0.020859145631,-4.062951646535347,-3.00552847645044,0.26025984606206604,0.26025984606206604,0.15027953119039972,0.9999999999999708,1.0000000000004594,0.09068336585752589,0.34956121985427235,0.2823927426861647,0.0727242352179094,0.056031407272150606
plummer_a2_N1000_V3_rel_bare,plummer_a2,1000,V3_rel_bare,54.095335691,54.041821441,0.054049965108,-4.060137717129109,-3.0752555217927675,0.2425735932998706,0.2425735932998706,0.13726036181809154,0.9999999999854249,1.0000000000103928,0.02453300905016449,0.02537486208987498,0.2963896232941749,0.07314062853919487,0.05662881164212784
plummer_a2_N1000_V4_rel_soft,plummer_a2,1000,V4_rel_soft,53.884086534,53.831029131,0.05383912451,-4.0601372654601695,-3.0789286303621854,0.24166883308236511,0.2417725250172452,0.13602777044857509,0.9999999999839713,1.0000000005975866,0.02070967483782208,0.02070967483782208,0.29248688152916263,0.12930987787329032,0.05662901073064353
plummer_a2_N1000_V5_rel_soft_consistent,plummer_a2,1000,V5_rel_soft_consistent,56.591248462,56.537692216,0.056545988782000005,-4.060140509470237,-3.080610936009789,0.24125509232394923,0.24125509232394923,0.1297025216892125,0.9999999999801195,1.0000000000075684,0.03335316251914196,0.038676582304735065,0.28014561359622625,0.10016830892457103,0.05662788230038898
plummer_a6_N1000_V1_geom_bare,plummer_a6,1000,V1_geom_bare,20.878528508,20.827989792,0.020834771374000003,-2.0607321902748192,-1.9823498515263813,0.03803615972921976,0.03906835599422533,0.023744331056408777,1.000000000000007,1.0000000000000115,0.36900577829210895,0.36900577829210895,0.3818805467703387,0.09385411166360484,0.08900934015933086
plummer_a6_N1000_V2_geom_soft,plummer_a6,1000,V2_geom_soft,20.705855216,20.655386850000003,0.020662077186,-2.0612127616211646,-1.9876384266280296,0.035694682452513095,0.035694682452513095,0.019407158674090198,1.0000000000001197,1.0000000000002074,0.026248304722885397,0.03985908625196683,0.3650679847564284,0.10077081803192284,0.0892485158182117
plummer_a6_N1000_V3_rel_bare,plummer_a6,1000,V3_rel_bare,51.651928906,51.604224474000006,0.051611423547000004,-2.0719893555906332,-2.020084533016923,0.025050718737362743,0.025050718737362743,0.01541970682336989,0.9999999999972917,1.0000000000053417,0.0012782213307607109,0.0012985818666086182,0.36949024817613546,0.0985732480379793,0.08884974100918225
plummer_a6_N1000_V4_rel_soft,plummer_a6,1000,V4_rel_soft,51.820641262,51.772132036,0.05177933283300001,-2.071989160895162,-2.0087977294321093,0.030497954649411393,0.03087417034412745,0.01886845416785862,0.9999999999981366,1.0000000000057556,0.0014169917929384944,0.0014775851175317723,0.37058611830673976,0.09573810617721536,0.08884994041378068
plummer_a6_N1000_V5_rel_soft_consistent,plummer_a6,1000,V5_rel_soft_consistent,54.718817309,54.669933799000006,0.05467699094,-2.071985289544239,-1.995221867761627,0.037048246515059585,0.03872196678326371,0.02399223754307322,1.000000000001084,1.0000000000036553,0.001159415129628335,0.0011829931417482874,0.3689873117988097,0.09766005102459119,0.08885004525906794
uniform_N1000_V1_geom_bare,uniform,1000,V1_geom_bare,19.915660605,19.874408688000003,0.019879804136,-0.6149887144115518,-0.6143921281026881,0.0009700768402466742,0.00541681473738783,0.001632427206503714,1.0,1.0,1.0,1.0,0.4618673931308275,0.675316560307856,0.7855227886229509
uniform_N1000_V2_geom_soft,uniform,1000,V2_geom_soft,20.054339961,20.004606826,0.020011244521,-0.6149937209167823,-0.61387161392801,0.001824582838178408,0.006308354720440449,0.001160480932421433,1.0,1.0,1.0,1.0,0.4580528888177261,0.6789948608488965,0.7855191298102776
uniform_N1000_V3_rel_bare,uniform,1000,V3_rel_bare,41.872268158,41.822571896,0.041829709844,-0.6150028906499112,-0.6161248682083578,0.0018243451787046084,0.011830425741484922,0.0016402669316216945,1.0,1.0,1.0,1.0,0.4697167264887768,0.6654516063785016,0.7855381834035354
uniform_N1000_V4_rel_soft,uniform,1000,V4_rel_soft,41.654440329,41.604779316000005,0.041612004535000004,-0.6150028998218403,-0.6169420997920051,0.0031531558155685926,0.01182987587037758,0.0023307514519416363,1.0,1.0,1.0,1.0,0.448057600624427,0.6863655591879804,0.7855381991181191
uniform_N1000_V5_rel_soft_consistent,uniform,1000,V5_rel_soft_consistent,44.270164873,44.218875081,0.044226174673,-0.6150028984928403,-0.6170175572257282,0.0032758524192733024,0.011827556041959833,0.0022979916447764693,1.0,1.0,1.0,1.0,0.45717837473171036,0.6472137964409728,0.7855381957975622
