distribution,N,variant,mean_err,max_err,p95_err,rms_err,mean_angular_err,max_angular_err,time_bh_ms,opened_nodes,mean_depth,dE_rel_final,dE_rel_max,dE_rel_mean,dp_rel_max,dL_rel_max,total_wall_s,mean_step_wall_s,Q_virial_final,r_hm_final,r_hm_init
plummer_a6,200,V1_geom_bare,0.01308879,0.2057563,0.03652614,0.02711025,0.0002235767,0.01738815,0.658,6193,3.057,0.1091620357405393,0.1091620357405393,0.0579440843777055,1.000000000000301,0.5287392609657506,1.451623369,0.001437485992,0.3739165587767366,0.1082984236516848,0.0945005229523823
plummer_a6,200,V2_geom_soft,0.003737364,0.04756675,0.007790519,0.005317851,6.260048e-06,0.0006288356,0.634,6193,3.057,0.0913336805585937,0.0960609586032777,0.0535250352094258,1.0000000000002671,0.0245963985179077,1.496472864,0.001482061825,0.3832599214025024,0.1072548339545655,0.0949022593939921
plummer_a6,200,V3_rel_bare,7.974458e-06,8.75728e-05,1.755617e-05,1.080491e-05,3.23778e-11,2.74799e-09,1.722,22530,4.28,0.0938897652405352,0.0938897652405352,0.0563149371882035,1.0000000005666725,0.0016023814333548,2.289570034,0.002273517669,0.3570923733193164,0.109774640188296,0.0956831581886124
plummer_a6,200,V4_rel_soft,5.89274e-06,7.241565e-05,1.02506e-05,7.911741e-06,1.865999e-11,2.175255e-09,1.7,22530,4.28,0.0933889484814249,0.0933889484814249,0.0565234481786979,1.0000000003133378,0.0011522581402822,2.30073282,0.002282700727,0.3880237487674843,0.115972362332602,0.0956831377925307
plummer_a6,200,V5_rel_soft_consistent,6.700389e-06,8.772042e-05,1.121691e-05,9.191459e-06,2.63928e-11,3.4991e-09,1.845,22097,4.259,0.0887465059658227,0.0903335568577791,0.0546943998821927,1.0000000005055236,0.0013352300499119,2.380262083,0.002367843816,0.3586170907169063,0.1104076623085451,0.0956831159536947
uniform,200,V1_geom_bare,0.003829828,0.07200078,0.01992783,0.009464358,1.609055e-05,0.0007538682,0.717,6417,2.84,0.0230056288820591,0.0251539610003128,0.0195010977379442,1.0,1.0,1.408108202,0.001393885085,0.4833321132269611,0.6793891764035218,0.6838672517154344
uniform,200,V2_geom_soft,0.001511928,0.009468557,0.003832132,0.001963139,9.443848e-07,1.78421e-05,0.689,6417,2.84,0.0064504327158644,0.0126181777857107,0.0064037728647749,1.0,1.0,1.412774598,0.001398843308,0.458127186750854,0.7484254742161374,0.6838605698004889
uniform,200,V3_rel_bare,9.691936e-06,5.620155e-05,2.441074e-05,1.276974e-05,4.860659e-11,9.555512e-10,1.405,16810,3.63,0.0121224190378398,0.0195458487646633,0.011299461178019,1.0,1.0,1.981407355,0.001964048893,0.443277089633047,0.6914270814142932,0.6838453455757293
uniform,200,V4_rel_soft,7.806137e-06,4.188161e-05,2.347733e-05,1.071945e-05,3.748483e-11,6.746697e-10,1.412,16810,3.63,0.0287210864683707,0.0304463677506724,0.0186389024826442,1.0,1.0,1.917187613,0.001903440043,0.4301003690936451,0.771228348003473,0.6838453854212688
uniform,200,V5_rel_soft_consistent,7.853955e-06,4.188161e-05,2.347733e-05,1.075975e-05,3.779097e-11,6.746697e-10,1.506,16784,3.628,0.0082298909116672,0.0109864256818726,0.005707667881052,1.0,1.0,2.053007047,0.002041376842,0.4692055940877563,0.7660286942073364,0.6838453947445562
