t,N,KE,PE,E,dE_rel,px,py,pz,p_norm,Lz,Q,r_hm,com_x,com_y,com_z,t_over_tcross,run
7.75,200,0.6370635073214886,-1.3781086375924732,-0.7410451302709845,0.004667048404323278,-5.238176194491465e-05,-0.000738486950646569,2.419431518519723e-05,0.0007407375987129331,-0.008575291885048724,0.462273793185438,0.26022200946850055,-0.0030829873898534184,0.00048143542884969285,-0.004190424098016441,3.163924251094939,serial
8.0,200,0.5329033954816358,-1.2728381985839565,-0.7399348031023207,0.00316172966766733,-0.00010100325206822893,-0.0007661175763693665,0.00013585562467324897,0.0007845983357781159,-0.008547835284808653,0.4186733208309551,0.2722181383433527,-0.0031092982203696,0.0002867143272540087,-0.004172009140750227,3.2659863237109046,serial
8.25,200,0.5959616102391787,-1.336084195785951,-0.7401225855467723,0.003416314478366189,-6.668513606107136e-05,-0.000901187710666627,0.0002818253795851211,0.0009465789675491092,-0.008516685894553797,0.4460509390941523,0.24603829187162649,-0.0031466032306007178,7.466486157244418e-05,-0.00411189573089123,3.3680483963268704,serial
8.5,200,0.6712125565579996,-1.4122427799452797,-0.7410302233872801,0.0046468384950472345,-8.374593692037239e-05,-0.0009829034539184842,0.0002795314412616815,0.0010253050318463231,-0.008526367796173842,0.4752812803079136,0.2347890260103132,-0.003158111248550757,-0.0001552620495139192,-0.004054201947070405,3.470110468942836,serial
8.75,200,0.5697887003773328,-1.3098737149834385,-0.7400850146061058,0.0033653779233260516,0.00011507011575442922,-0.0011954037393159392,0.00035720805136833355,0.0012529280998814856,-0.008504768341067621,0.43499514026398867,0.25258350161677356,-0.0031394394732832567,-0.00043734629324854396,-0.003976694532044251,3.572172541558802,serial
9.0,200,0.5382233673267873,-1.2771671482717917,-0.7389437809450043,0.0018181579133664074,0.0002937294547225694,-0.0014060832431251104,0.00084359785632987,0.0016658344522710528,-0.008499039964703284,0.421419677177798,0.2585295118041576,-0.003102320457161613,-0.0007416356750722983,-0.00384467741012475,3.6742346141747673,serial
9.25,200,0.5765884870273075,-1.3160398026314766,-0.7394513156041691,0.002506244680496889,0.00036564787435892183,-0.0015845168967769184,0.0007228409300986212,0.0017795761221202628,-0.008478582445660278,0.4381238970693703,0.2674094491563621,-0.0030307888836438755,-0.0010936617576554942,-0.0036541297505852184,3.776296686790733,serial
9.5,200,0.5933102935716144,-1.3316177941383887,-0.7383075005667743,0.0009555249866508535,0.00019405515590286554,-0.001455280699648348,0.0006251508430871665,0.0015957170472593396,-0.00850085362788886,0.4455559967607,0.2593558571556947,-0.0029557889007174034,-0.0014677565661679497,-0.0034886889278726236,3.878358759406699,serial
9.75,200,0.6324926662809551,-1.3696310888451195,-0.7371384225641644,0.0006294448056842099,0.00019827292029381545,-0.0016100581585366802,0.000614616425576702,0.0017347486202274511,-0.008484973707843622,0.4617978311329633,0.24628837718989582,-0.0029048992847242744,-0.0018205486721448937,-0.003326031489989105,3.9804208320226646,serial
10.0,200,0.6241748627027766,-1.3610298811314567,-0.7368550184286802,0.001013668093405423,0.00015421007711568084,-0.001858519791418561,0.0003472130532299855,0.0018969537335717507,-0.008449082646555264,0.4586048193033683,0.25621846613838245,-0.0028702721553196804,-0.0022724451338166163,-0.0032236635914673966,4.08248290463863,serial
10.25,200,0.6510214997246192,-1.3896122490840233,-0.738590749359404,0.001339537669321558,7.088421086563879e-05,-0.0018148589776518583,0.0005735538589295599,0.0019046526479142023,-0.008465367785743463,0.46849148037788707,0.246689162314153,-0.0028410832825635298,-0.0027251530575128275,-0.003106035859972698,4.184544977254596,serial
10.5,200,0.6113849582778247,-1.3502120968887747,-0.7388271386109501,0.001660020838191976,-0.0005039807602074755,-0.0019772707942128267,0.0004305080884141939,0.002085409699434711,-0.008456950090886772,0.4528066069668669,0.264712544594904,-0.0028611600395485924,-0.0032100454417559087,-0.0029816146510013206,4.286607049870562,serial
10.75,200,0.5730418420951231,-1.3111439810947496,-0.7381021389996265,0.0006771073962854627,-0.00027160623950536175,-0.001861071285520478,0.00039086227453619354,0.0019209710036288145,-0.008470582767888587,0.43705485465956034,0.25304399402655847,-0.0029529589948123817,-0.0037110783111303923,-0.0028906553113632718,4.388669122486528,serial
11.0,200,0.6932077233088889,-1.4321142988248259,-0.738906575515937,0.0017677168982664637,-0.0001431158711668563,-0.0018658443622345195,0.00045664061884319437,0.0019262341476154149,-0.00844510544994587,0.4840449703474967,0.24615190918899238,-0.0030086084217171897,-0.0041573785635922265,-0.002801197143070963,4.4907311951024935,serial
11.25,200,0.5974705015996371,-1.3367004697993479,-0.7392299681997108,0.00220615439661931,-0.00027337334175174495,-0.0017946970401078173,0.00042292358541048735,0.0018640104100698415,-0.008432102433288173,0.4469741090831841,0.2579026239270179,-0.003072905559031858,-0.004611082348432235,-0.0027023122610824,4.592793267718459,serial
11.5,200,0.6554920171577335,-1.3945132899762727,-0.7390212728185391,0.001923217009876554,-0.00010160017214304738,-0.0018456219232326032,0.00041500818158762403,0.0018944325454554926,-0.00842929921683496,0.4700507495119581,0.23938542535269985,-0.0031284012003540054,-0.00506124939041826,-0.0026045886993866785,4.694855340334425,serial
11.75,200,0.5929311530084227,-1.3320804743549701,-0.7391493213465474,0.002096817957283859,-0.00021274589697395718,-0.0021156399906115267,0.000245521510371358,0.0021404378520781743,-0.008374170564061721,0.4451166160179145,0.2566218815258226,-0.0031754808148964993,-0.005567405616335361,-0.002554751038742184,4.796917412950391,serial
12.0,200,0.5949950177732718,-1.3347635966282607,-0.7397685788549889,0.0029363722405440786,-0.000267010552189128,-0.002170964532777605,0.00016785705487027476,0.00219375423154654,-0.008377942229914136,0.4457680890281137,0.26427217501937755,-0.0032392766610259884,-0.006113346887766445,-0.002507155041905631,4.898979485566357,serial
12.25,200,0.6050197741067321,-1.3437597342129068,-0.7387399601061747,0.0015418291552577277,-0.00024372082791574077,-0.0020391545488163097,0.0001709413958858254,0.0020607697777154967,-0.008386442723742827,0.45024401215676857,0.24562428119439755,-0.0033074908492231477,-0.006648059019201069,-0.002457113448641645,5.001041558182322,serial
12.5,200,0.6853379790345906,-1.4256478267352874,-0.7403098477006969,0.0036701939086140763,-0.00018732124245874002,-0.0022151077085209797,-9.439519377865251e-05,0.002225017272030458,-0.008397345022733736,0.4807203898342864,0.2330820344091365,-0.00336171116876274,-0.0071696271848226386,-0.0024556328898728,5.103103630798288,serial
12.75,200,0.5880757856316061,-1.3273655283222443,-0.7392897426906382,0.0022871932685001144,-0.000548867756556063,-0.001872100163495105,-0.00010107854171472375,0.0019535177777385234,-0.00842366612421966,0.443039820670135,0.2440582238437082,-0.0034588131738129742,-0.007661176217752388,-0.002475058097676029,5.205165703414254,serial
13.0,200,0.531103536392691,-1.2706051068767463,-0.7395015704840553,0.0025743774024873977,-0.000337443132266819,-0.001884473003541412,-9.15297449664728e-05,0.0019166335233434845,-0.00841651408428896,0.4179926033023651,0.27658518881645333,-0.003565368913299756,-0.008148684541304083,-0.0025045784266184857,5.30722777603022,serial
13.25,200,0.5904847251256322,-1.330446269834342,-0.7399615447087098,0.003197984424176761,-0.00022085996125206455,-0.0020884983017818146,-0.00036823734044385317,0.002132182688684755,-0.008398824144841988,0.44382455610113086,0.25758040491950107,-0.003641024189855663,-0.00865152773206034,-0.0025705635262475712,5.409289848646186,serial
13.5,200,0.5857030488237281,-1.324598561343785,-0.7388955125200568,0.001752718314558927,-0.0002342783970908252,-0.0018606615984641302,-0.0004903825299359427,0.001938407330002885,-0.008419267819453697,0.44217400344262897,0.24738983487458086,-0.003702645245790674,-0.00915589493981641,-0.0026818761391663587,5.511351921262151,serial
13.75,200,0.5951731368575055,-1.335060018464746,-0.7398868816072406,0.0030967604167396697,-0.0002496775132237411,-0.001975170314629315,-0.000414405203962824,0.0020335604995853768,-0.008415800580691286,0.44580253219021987,0.2567545047396767,-0.0037603926291738233,-0.00963633675511513,-0.002813466266171238,5.613413993878117,serial
14.0,200,0.513131828433332,-1.2522682380334529,-0.7391364096001208,0.0020793129422149318,-0.0003593969624885821,-0.00210095245967114,-0.0006141213183110372,0.0022181777223767075,-0.008410004741343227,0.40976191270262363,0.28857100025455373,-0.003832708607729736,-0.010137725605606407,-0.0029382382626088163,5.715476066494083,serial
